Client,Warehouse,Product,2021-11-01,2021-11-08,2021-11-15
0,1,367,14.47,14.47,14.47
0,1,639,78.815,78.815,78.815
0,1,655,25.265,25.265,25.265
0,1,1149,5.7000003,5.7000003,5.7000003
0,1,1485,,,
0,1,1965,25.067501,25.067501,25.067501
0,1,1969,20.97,20.97,20.97
0,1,3179,,,
0,1,3234,0.83,0.83,0.83
0,1,3463,40.63,40.63,40.63
0,1,3515,6.1699996,6.1699996,6.1699996
0,1,4337,34.485,34.485,34.485
0,1,4431,30.3,30.3,30.3
0,1,5317,1.47,1.47,1.47
0,1,5604,,,
0,1,5619,34.95,34.95,34.95
0,1,5657,21.485,21.485,21.485
0,1,5871,18.435,18.435,18.435
0,1,6341,22.199999,22.199999,22.199999
0,1,6898,37.0,37.0,37.0
0,1,7022,25.1,25.1,25.1
0,1,7186,38.035713,38.035713,40.082855
0,1,7457,6.57,6.57,6.57
0,1,7469,,,
0,1,7661,45.510002,45.510002,45.510002
0,1,7984,14.17,14.17,14.17
0,1,8011,97.6175,97.6175,97.6175
0,1,8157,6.7000003,6.7000003,6.7000003
0,1,8264,75.1,75.1,75.1
0,1,8468,13.099999,13.099999,13.099999
0,1,8587,26.67,26.67,26.67
0,1,8869,31.6,31.6,31.6
0,1,10705,22.77,22.77,22.77
0,1,11000,,,
0,1,11015,6.07,6.07,6.07
0,1,11526,23.015,23.015,23.015
0,1,11552,,,
0,1,11983,22.699999,22.699999,22.699999
0,1,12171,65.4,65.4,65.4
0,1,12298,,,
0,1,14160,,,
0,1,14311,,,
0,3,0,124.62,124.62,124.62
0,3,400,39.729404,39.729404,39.729404
0,3,439,43.665955,43.665955,43.665955
0,3,1102,22.120321,22.120321,22.120321
0,3,1154,111.31122,111.31122,111.31122
0,3,1181,,,
0,3,1274,,,
0,3,1536,18.37,18.37,18.37
0,3,1704,15.219412,15.219412,15.219412
0,3,2119,,,
0,3,2391,,,
0,3,2506,6.2583337,6.2583337,6.2583337
0,3,2628,46.829132,46.829132,46.829132
0,3,2838,,,
0,3,2884,10.547369,10.547369,10.547369
0,3,2949,52.318447,52.318447,52.318447
0,3,3401,22.5625,22.5625,22.5625
0,3,3419,56.272606,56.272606,56.272606
0,3,3520,29.171482,29.171482,29.171482
0,3,3583,17.209524,17.209524,17.209524
0,3,3702,,,
0,3,3751,,,
0,3,3778,,,
0,3,4285,61.468987,61.468987,61.468987
0,3,4520,,,
0,3,4592,16.618135,16.618135,16.618135
0,3,5023,,,
0,3,5274,,,
0,3,5376,22.217356,22.217356,22.217356
0,3,5456,34.540836,34.540836,34.540836
0,3,5493,186.3628,186.3628,186.3628
0,3,5512,,,
0,3,5599,,,
0,3,5824,,,
0,3,5901,23.195,23.195,23.195
0,3,5933,39.36682,39.36682,39.36682
0,3,6100,53.920475,53.920475,53.920475
0,3,6289,,,
0,3,6436,42.856297,42.856297,42.856297
0,3,6581,,,
0,3,6614,,,
0,3,6816,,,
