Client,Warehouse,Product,2023-05-22,2023-05-29,2023-06-05
0,1,367,3.0,1.0,0.0
0,1,639,8.0,8.0,1.0
0,1,655,10.0,11.0,4.0
0,1,1149,0.0,0.0,0.0
0,1,1485,1.0,11.0,9.0
0,1,1965,13.0,12.0,3.0
0,1,1969,3.0,3.0,1.0
0,1,3179,0.0,4.0,0.0
0,1,3234,0.0,1.0,0.0
0,1,3463,1.0,0.0,0.0
0,1,3515,0.0,1.0,0.0
0,1,4337,3.0,5.0,2.0
0,1,4431,5.0,5.0,2.0
0,1,5317,1.0,0.0,2.0
0,1,5604,0.0,0.0,0.0
0,1,5619,6.0,4.0,0.0
0,1,5657,0.0,1.0,4.0
0,1,5871,6.0,7.0,5.0
0,1,6341,0.0,4.0,0.0
0,1,6898,2.0,3.0,1.0
0,1,7022,0.0,1.0,2.0
0,1,7186,3.0,11.0,1.0
0,1,7457,4.0,1.0,0.0
0,1,7469,1.0,8.0,2.0
0,1,7661,25.0,8.0,20.0
0,1,7984,0.0,0.0,0.0
0,1,8011,24.0,30.0,28.0
0,1,8157,0.0,3.0,2.0
0,1,8264,8.0,2.0,1.0
0,1,8468,0.0,1.0,0.0
0,1,8587,2.0,0.0,0.0
0,1,8869,2.0,0.0,3.0
0,1,10705,2.0,1.0,1.0
0,1,11000,4.0,19.0,2.0
0,1,11015,0.0,0.0,1.0
0,1,11526,2.0,1.0,0.0
0,1,11552,0.0,0.0,0.0
0,1,11983,1.0,0.0,1.0
0,1,12171,1.0,0.0,1.0
0,1,12298,1.0,6.0,0.0
0,1,14160,0.0,2.0,1.0
0,1,14311,2.0,9.0,1.0
0,3,0,0.0,0.0,0.0
0,3,400,735.0,617.0,350.0
0,3,439,175.0,172.0,80.0
0,3,1102,185.0,121.0,51.0
0,3,1154,907.0,894.0,420.0
0,3,1181,16.0,43.0,25.0
0,3,1274,4.0,1.0,0.0
0,3,1536,177.0,287.0,97.0
0,3,1704,57.0,36.0,18.0
0,3,2119,262.0,221.0,477.0
0,3,2391,128.0,154.0,47.0
0,3,2506,671.0,102.0,55.0
0,3,2628,29.0,1.0,14.0
0,3,2838,20.0,0.0,0.0
0,3,2884,288.0,314.0,112.0
0,3,2949,400.0,327.0,193.0
0,3,3401,86.0,165.0,46.0
0,3,3419,203.0,161.0,74.0
0,3,3520,221.0,168.0,95.0
0,3,3583,341.0,145.0,90.0
0,3,3702,386.0,307.0,169.0
0,3,3751,167.0,221.0,48.0
0,3,3778,12.0,40.0,8.0
0,3,4285,1281.0,1299.0,536.0
0,3,4520,42.0,72.0,29.0
0,3,4592,513.0,482.0,197.0
0,3,5023,0.0,0.0,31.0
0,3,5274,482.0,468.0,237.0
0,3,5376,242.0,191.0,83.0
0,3,5456,1638.0,845.0,472.0
0,3,5493,509.0,481.0,229.0
